,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,target
0,0.00325,https://api.spotify.com/v1/audio-analysis/2DksC1UZFBldtB8v35SOZ6,0.4,178311,0.711,2DksC1UZFBldtB8v35SOZ6,1.9e-05,10,0.353,-6.685,1,0.0484,120.104,4,https://api.spotify.com/v1/tracks/2DksC1UZFBldtB8v35SOZ6,audio_features,spotify:track:2DksC1UZFBldtB8v35SOZ6,0.53,1
1,0.343,https://api.spotify.com/v1/audio-analysis/05DpufgmcB4Q1C94KP4UMv,0.771,177195,0.405,05DpufgmcB4Q1C94KP4UMv,0.0,6,0.0571,-10.958,1,0.0485,120.001,4,https://api.spotify.com/v1/tracks/05DpufgmcB4Q1C94KP4UMv,audio_features,spotify:track:3PpA9yiER3V2cUjJ3cXL1V,0.538,1
2,0.634,https://api.spotify.com/v1/audio-analysis/1Ck6EFhqLzcNcCFjMME3Nk,0.691,164507,0.311,1Ck6EFhqLzcNcCFjMME3Nk,0.0,2,0.0891,-11.863,1,0.0444,108.029,4,https://api.spotify.com/v1/tracks/1Ck6EFhqLzcNcCFjMME3Nk,audio_features,spotify:track:3GvqH9zhRW19mhnubYZQEN,0.451,1
3,0.305,https://api.spotify.com/v1/audio-analysis/0iPLqmHuXA3V5vnwjrTEp0,0.67,183600,0.419,0iPLqmHuXA3V5vnwjrTEp0,0.0,0,0.121,-8.757,1,0.0336,116.017,4,https://api.spotify.com/v1/tracks/0iPLqmHuXA3V5vnwjrTEp0,audio_features,spotify:track:7KWwWeBPUCXDleEwfV1ZC3,0.567,1
4,0.593,https://api.spotify.com/v1/audio-analysis/37L7EPenK5SI5ydjF8XWNm,0.591,134467,0.433,37L7EPenK5SI5ydjF8XWNm,0.0,6,0.312,-7.07,1,0.0488,140.103,4,https://api.spotify.com/v1/tracks/37L7EPenK5SI5ydjF8XWNm,audio_features,spotify:track:1AjVBPxoyKNcAJQSiQsHWX,0.745,1
5,0.665,https://api.spotify.com/v1/audio-analysis/4Q6csvX1UoWFIEorEM8H2w,0.519,139133,0.516,4Q6csvX1UoWFIEorEM8H2w,0.0,2,0.336,-10.254,1,0.0362,111.71,4,https://api.spotify.com/v1/tracks/4Q6csvX1UoWFIEorEM8H2w,audio_features,spotify:track:05DpufgmcB4Q1C94KP4UMv,0.542,1
6,0.938,https://api.spotify.com/v1/audio-analysis/2MkxCWRBfHpXrDWGES0M8S,0.287,267000,0.138,2MkxCWRBfHpXrDWGES0M8S,0.0,7,0.178,-13.099,1,0.0336,142.761,3,https://api.spotify.com/v1/tracks/2MkxCWRBfHpXrDWGES0M8S,audio_features,spotify:track:0eekaX32hUmJgcinPCL1iZ,0.364,1
7,0.231,https://api.spotify.com/v1/audio-analysis/3POhkj4qBN6F22ZdXXxwTW,0.28,235206,0.447,3POhkj4qBN6F22ZdXXxwTW,0.0,5,0.16,-6.488,1,0.0361,159.658,4,https://api.spotify.com/v1/tracks/3POhkj4qBN6F22ZdXXxwTW,audio_features,spotify:track:3U2onubxT4vYkm6M8b5gSP,0.118,1
8,0.605,https://api.spotify.com/v1/audio-analysis/1unpst6H0uMsDKghmIxwjs,0.435,260387,0.442,1unpst6H0uMsDKghmIxwjs,0.0,10,0.116,-5.735,1,0.0282,140.246,3,https://api.spotify.com/v1/tracks/1unpst6H0uMsDKghmIxwjs,audio_features,spotify:track:33EVpTZhoyQw1mStrZTKfO,0.303,1
9,0.67,https://api.spotify.com/v1/audio-analysis/2tOvSOnyWzADvi3uOZpE17,0.365,252158,0.393,2tOvSOnyWzADvi3uOZpE17,0.000343,7,0.115,-9.809,1,0.0316,131.788,4,https://api.spotify.com/v1/tracks/2tOvSOnyWzADvi3uOZpE17,audio_features,spotify:track:5bmbE21f2bFuXntw5efwgA,0.232,1
10,0.107,https://api.spotify.com/v1/audio-analysis/5Y0b8t0Sp2BJfdS6yDYwcd,0.583,212040,0.62,5Y0b8t0Sp2BJfdS6yDYwcd,3.11e-06,11,0.208,-6.314,0,0.0386,137.99,4,https://api.spotify.com/v1/tracks/5Y0b8t0Sp2BJfdS6yDYwcd,audio_features,spotify:track:1Ck6EFhqLzcNcCFjMME3Nk,0.544,1
11,0.703,https://api.spotify.com/v1/audio-analysis/1XBc4r6ltXjkFJBrsttwIF,0.691,125827,0.402,1XBc4r6ltXjkFJBrsttwIF,0.0,8,0.463,-12.149,1,0.0599,139.752,4,https://api.spotify.com/v1/tracks/1XBc4r6ltXjkFJBrsttwIF,audio_features,spotify:track:2aNikEZyJs70hnJ11URpZi,0.844,1
12,0.0013,https://api.spotify.com/v1/audio-analysis/3nAp4IvdMPPWEH9uuXFFV5,0.509,229640,0.812,3nAp4IvdMPPWEH9uuXFFV5,1.99e-05,8,0.214,-5.438,1,0.0537,159.876,4,https://api.spotify.com/v1/tracks/3nAp4IvdMPPWEH9uuXFFV5,audio_features,spotify:track:1VjUDKaUGOn1FgjgYgwlNL,0.689,1
13,0.511,https://api.spotify.com/v1/audio-analysis/32OWobmyAz8J2qA8iWekyS,0.666,182947,0.543,32OWobmyAz8J2qA8iWekyS,0.0,6,0.0911,-9.188,0,0.0446,161.947,4,https://api.spotify.com/v1/tracks/32OWobmyAz8J2qA8iWekyS,audio_features,spotify:track:2gEdDzzK9uxVLIFm88joGF,0.881,1
14,0.738,https://api.spotify.com/v1/audio-analysis/5Q2P43CJra0uRAogjHyJDK,0.583,173560,0.572,5Q2P43CJra0uRAogjHyJDK,0.0,1,0.266,-4.776,1,0.0366,113.998,4,https://api.spotify.com/v1/tracks/5Q2P43CJra0uRAogjHyJDK,audio_features,spotify:track:3uYKPG2siwfcb8cjzjC19O,0.684,1
15,0.06,https://api.spotify.com/v1/audio-analysis/2mvabkN1i2gLnGAPUVdwek,0.598,228027,0.68,2mvabkN1i2gLnGAPUVdwek,0.0,7,0.324,-4.505,1,0.0331,134.002,4,https://api.spotify.com/v1/tracks/2mvabkN1i2gLnGAPUVdwek,audio_features,spotify:track:0iPLqmHuXA3V5vnwjrTEp0,0.437,1
16,0.893,https://api.spotify.com/v1/audio-analysis/5DoGwwQAlYumpSSlDNMOwY,0.475,192421,0.068,5DoGwwQAlYumpSSlDNMOwY,0.00216,0,0.105,-20.032,1,0.0319,95.165,3,https://api.spotify.com/v1/tracks/5DoGwwQAlYumpSSlDNMOwY,audio_features,spotify:track:2WhUP1z0CWhFCZX08FV9N0,0.266,1
