,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,target
94,0.00391,https://api.spotify.com/v1/audio-analysis/70rFIfYN7lU6iTgUIVP42w,0.728,138970,0.685,70rFIfYN7lU6iTgUIVP42w,0.0,5,0.152,-5.096,0,0.0433,124.934,4,https://api.spotify.com/v1/tracks/70rFIfYN7lU6iTgUIVP42w,audio_features,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,0.33,0
95,0.131,https://api.spotify.com/v1/audio-analysis/5KCbr5ndeby4y4ggthdiAb,0.333,172693,0.637,5KCbr5ndeby4y4ggthdiAb,1.8e-05,1,0.149,-4.904,0,0.0581,139.898,4,https://api.spotify.com/v1/tracks/5KCbr5ndeby4y4ggthdiAb,audio_features,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,0.132,0
96,0.21,https://api.spotify.com/v1/audio-analysis/45S5WTQEGOB1VHr1Q4FuPl,0.448,208907,0.838,45S5WTQEGOB1VHr1Q4FuPl,0.000131,4,0.131,-5.257,0,0.0557,139.863,4,https://api.spotify.com/v1/tracks/45S5WTQEGOB1VHr1Q4FuPl,audio_features,spotify:track:0Ryd8975WihbObpp5cPW1t,0.254,0
97,0.122,https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY,0.548,174000,0.816,6UelLqGlWMcVH1E5c4H7lY,0.0,0,0.335,-4.209,1,0.0465,95.39,4,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,audio_features,spotify:track:4tNXntkAzQ5A2dfYRYGIIQ,0.557,0
98,0.648,https://api.spotify.com/v1/audio-analysis/0CZ8lquoTX2Dkg7Ak2inwA,0.6,225133,0.535,0CZ8lquoTX2Dkg7Ak2inwA,4.7e-06,4,0.162,-7.043,1,0.107,71.912,4,https://api.spotify.com/v1/tracks/0CZ8lquoTX2Dkg7Ak2inwA,audio_features,spotify:track:314ZkcV7oLWG8yWE7LABvH,0.269,0
99,0.17,https://api.spotify.com/v1/audio-analysis/44ADyYoY5liaRa3EOAl4uf,0.53,233654,0.538,44ADyYoY5liaRa3EOAl4uf,2.83e-06,5,0.248,-6.672,1,0.0335,148.051,4,https://api.spotify.com/v1/tracks/44ADyYoY5liaRa3EOAl4uf,audio_features,spotify:track:7szuecWAPwGoV1e5vGu8tl,0.288,0
100,0.492,https://api.spotify.com/v1/audio-analysis/1dGr1c8CrMLDpV6mPbImSI,0.359,221307,0.543,1dGr1c8CrMLDpV6mPbImSI,1.58e-05,7,0.118,-7.582,1,0.0919,68.534,4,https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI,audio_features,spotify:track:4evmHXcjt3bTUHD1cvny97,0.453,0
101,0.979,https://api.spotify.com/v1/audio-analysis/14JzyD6FlBD5z0wV5P07YI,0.498,199931,0.104,14JzyD6FlBD5z0wV5P07YI,7.86e-05,1,0.0895,-14.08,0,0.0621,124.001,3,https://api.spotify.com/v1/tracks/14JzyD6FlBD5z0wV5P07YI,audio_features,spotify:track:6LsAAHotRLMOHfCsSfYCsz,0.205,0
102,0.374,https://api.spotify.com/v1/audio-analysis/5DqdesEfbRyOlSS3Tf6c29,0.732,212607,0.463,5DqdesEfbRyOlSS3Tf6c29,0.0,11,0.194,-6.972,0,0.0287,95.971,4,https://api.spotify.com/v1/tracks/5DqdesEfbRyOlSS3Tf6c29,audio_features,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,0.397,0
103,0.177,https://api.spotify.com/v1/audio-analysis/2W4yABdLc4Jnds67Poi5Nl,0.866,223258,0.438,2W4yABdLc4Jnds67Poi5Nl,0.0,7,0.0743,-8.943,1,0.0719,129.039,4,https://api.spotify.com/v1/tracks/2W4yABdLc4Jnds67Poi5Nl,audio_features,spotify:track:71hBQ9qHsZU2M3vDF8MtaN,0.695,0
104,0.697,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,0.553,196373,0.586,3EPXxR3ImUwfayaurPi3cm,0.0,11,0.0813,-6.319,1,0.0362,126.684,4,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,audio_features,spotify:track:5QlWzeA7AVTcpVcZudwtI7,0.443,0
105,0.535,https://api.spotify.com/v1/audio-analysis/1wjzFQodRWrPcQ0AnYnvQ9,0.752,197437,0.505,1wjzFQodRWrPcQ0AnYnvQ9,2.55e-06,9,0.104,-7.621,1,0.253,91.97,4,https://api.spotify.com/v1/tracks/1wjzFQodRWrPcQ0AnYnvQ9,audio_features,spotify:track:0REIEJ3SexYnl8myLNxTMZ,0.419,0
106,0.934,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,0.351,200186,0.296,0u2P5u6lvoDfwTYjAADbn4,0.0,4,0.095,-10.109,0,0.0333,115.284,4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,audio_features,spotify:track:1KSz0dMTPwRq9OqLkNxcfd,0.12,0
107,0.489,https://api.spotify.com/v1/audio-analysis/4tNXntkAzQ5A2dfYRYGIIQ,0.505,157493,0.428,4tNXntkAzQ5A2dfYRYGIIQ,0.0,5,0.0977,-5.604,1,0.221,175.813,4,https://api.spotify.com/v1/tracks/4tNXntkAzQ5A2dfYRYGIIQ,audio_features,spotify:track:01WOwxkxOw2FqNIHkraxcN,0.618,0
108,0.216,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf,0.75,232253,0.404,6NFyWDv5CjfwuzoCkw47Xf,0.000357,9,0.0911,-10.178,0,0.0682,95.045,4,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf,audio_features,spotify:track:0C91daZBEChlLpb8LLqojh,0.0499,0
109,0.075,https://api.spotify.com/v1/audio-analysis/01WOwxkxOw2FqNIHkraxcN,0.576,208096,0.534,01WOwxkxOw2FqNIHkraxcN,0.0,6,0.199,-9.637,0,0.294,83.56,1,https://api.spotify.com/v1/tracks/01WOwxkxOw2FqNIHkraxcN,audio_features,spotify:track:136cNclvh1Gm1WSK34PyBz,0.041,0
110,0.106,https://api.spotify.com/v1/audio-analysis/2yQYExQ5ziJBsJFGKEjnam,0.802,247533,0.697,2yQYExQ5ziJBsJFGKEjnam,0.0,1,0.73,-6.126,1,0.316,159.989,4,https://api.spotify.com/v1/tracks/2yQYExQ5ziJBsJFGKEjnam,audio_features,spotify:track:4F7ArOheAkEeTB1QN6toCN,0.503,0
111,0.0279,https://api.spotify.com/v1/audio-analysis/4SVTus5gJc5cfkFZ8ELK1p,0.374,179976,0.577,4SVTus5gJc5cfkFZ8ELK1p,5.6e-06,1,0.562,-7.085,1,0.302,184.201,4,https://api.spotify.com/v1/tracks/4SVTus5gJc5cfkFZ8ELK1p,audio_features,spotify:track:3Xa0sbyAtaEYYl2qRGnWQb,0.0658,0
112,0.413,https://api.spotify.com/v1/audio-analysis/3DIqLmDpxyHiy5yKA6RLEs,0.963,199148,0.657,3DIqLmDpxyHiy5yKA6RLEs,0.0,10,0.0899,-4.749,1,0.0614,135.012,4,https://api.spotify.com/v1/tracks/3DIqLmDpxyHiy5yKA6RLEs,audio_features,spotify:track:2yQYExQ5ziJBsJFGKEjnam,0.808,0
113,0.023,https://api.spotify.com/v1/audio-analysis/5YmPSElBlLt0Yy1zPOUGqi,0.799,194628,0.646,5YmPSElBlLt0Yy1zPOUGqi,0.000536,7,0.126,-6.699,1,0.0687,104.989,4,https://api.spotify.com/v1/tracks/5YmPSElBlLt0Yy1zPOUGqi,audio_features,spotify:track:08TILUAN56HJoS1d9mNRty,0.546,0
114,0.231,https://api.spotify.com/v1/audio-analysis/4Q34FP1AT7GEl9oLgNtiWj,0.647,193839,0.667,4Q34FP1AT7GEl9oLgNtiWj,0.0,5,0.133,-5.563,1,0.304,172.08,4,https://api.spotify.com/v1/tracks/4Q34FP1AT7GEl9oLgNtiWj,audio_features,spotify:track:5SSYzmp4B9GnT3xYswsUh7,0.704,0
115,0.14,https://api.spotify.com/v1/audio-analysis/7li8rJ9EFVTzZkR7whXJ3u,0.925,188629,0.619,7li8rJ9EFVTzZkR7whXJ3u,0.0,1,0.0585,-6.476,1,0.288,119.979,4,https://api.spotify.com/v1/tracks/7li8rJ9EFVTzZkR7whXJ3u,audio_features,spotify:track:5Iz8xVGbOEWlLpM4JWozT2,0.635,0
116,0.0159,https://api.spotify.com/v1/audio-analysis/065J6YUGz8tN0A3TkRrWtP,0.797,178553,0.66,065J6YUGz8tN0A3TkRrWtP,3.13e-06,2,0.201,-8.156,1,0.386,149.997,4,https://api.spotify.com/v1/tracks/065J6YUGz8tN0A3TkRrWtP,audio_features,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,0.796,0
117,0.199,https://api.spotify.com/v1/audio-analysis/7Bar1kLTmsRmH6FCKKMEyU,0.679,202008,0.516,7Bar1kLTmsRmH6FCKKMEyU,0.0,0,0.0965,-6.371,0,0.0452,120.074,4,https://api.spotify.com/v1/tracks/7Bar1kLTmsRmH6FCKKMEyU,audio_features,spotify:track:4SVTus5gJc5cfkFZ8ELK1p,0.716,0
118,0.18,https://api.spotify.com/v1/audio-analysis/29zlMCUoFqwWMMTFwY7rTI,0.533,319555,0.389,29zlMCUoFqwWMMTFwY7rTI,0.0,0,0.112,-9.175,1,0.0542,145.894,4,https://api.spotify.com/v1/tracks/29zlMCUoFqwWMMTFwY7rTI,audio_features,spotify:track:5TwXIwSz3Y0hkxPJ3RK3co,0.248,0
119,0.122,https://api.spotify.com/v1/audio-analysis/2uddLj27GIDBIdwRuIomE4,0.746,180095,0.454,2uddLj27GIDBIdwRuIomE4,1.52e-05,9,0.296,-8.79,1,0.0583,121.921,4,https://api.spotify.com/v1/tracks/2uddLj27GIDBIdwRuIomE4,audio_features,spotify:track:0EKcJ70nUR0epdgrYtXjIN,0.268,0
120,0.453,https://api.spotify.com/v1/audio-analysis/0zcRUprLKw7LtndkBurb3S,0.461,203214,0.542,0zcRUprLKw7LtndkBurb3S,4.32e-06,5,0.146,-5.202,1,0.0457,120.209,3,https://api.spotify.com/v1/tracks/0zcRUprLKw7LtndkBurb3S,audio_features,spotify:track:2T5NBwKRySiCR78vVk08vr,0.189,0
121,0.333,https://api.spotify.com/v1/audio-analysis/2aSM4sbNN7cSmpYOG0sf46,0.632,213933,0.495,2aSM4sbNN7cSmpYOG0sf46,0.0,7,0.0941,-8.335,1,0.143,77.083,4,https://api.spotify.com/v1/tracks/2aSM4sbNN7cSmpYOG0sf46,audio_features,spotify:track:35RJhm1pEovTBwnNR0zWad,0.233,0
